manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,orientation,notes,usage
Elektron,Digitakt II,Mixer parameters - external input,External input L reverb send,,80,,0,127,2,38,0,127,0-based,,
Elektron,Digitakt II,Mixer parameters - external input,External input R reverb send,,81,,0,127,2,39,0,127,0-based,,
Elektron,Digitakt II,Mixer parameters - external input,External input L chorus send,,76,,0,127,2,34,0,127,0-based,,
Elektron,Digitakt II,Mixer parameters - external input,External input R chorus send,,77,,0,127,2,35,0,127,0-based,,
Elektron,Digitakt II,CC VAL parameters,VAL1,,70,,0,127,1,16,0,127,0-based,,
Elektron,Digitakt II,CC VAL parameters,VAL2,,71,,0,127,1,17,0,127,0-based,,
Elektron,Digitakt II,CC VAL parameters,VAL3,,72,,0,127,1,18,0,127,0-based,,
Elektron,Digitakt II,CC VAL parameters,VAL4,,73,,0,127,1,19,0,127,0-based,,
Elektron,Digitakt II,CC VAL parameters,VAL5,,74,,0,127,1,20,0,127,0-based,,
Elektron,Digitakt II,CC VAL parameters,VAL6,,75,,0,127,1,21,0,127,0-based,,
Elektron,Digitakt II,CC VAL parameters,VAL7,,76,,0,127,1,22,0,127,0-based,,
Elektron,Digitakt II,CC VAL parameters,VAL8,,77,,0,127,1,23,0,127,0-based,,
Elektron,Digitakt II,CC VAL parameters,VAL9,,,,,1,60,0,127,0-based,,
Elektron,Digitakt II,CC VAL parameters,VAL10,,,,,1,61,0,127,0-based,,
Elektron,Digitakt II,CC VAL parameters,VAL11,,,,,1,62,0,127,0-based,,
Elektron,Digitakt II,CC VAL parameters,VAL12,,,,,1,63,0,127,0-based,,
Elektron,Digitakt II,CC VAL parameters,VAL13,,,,,1,64,0,127,0-based,,
Elektron,Digitakt II,CC VAL parameters,VAL14,,,,,1,65,0,127,0-based,,
Elektron,Digitakt II,CC VAL parameters,VAL15,,,,,1,66,0,127,0-based,,
Elektron,Digitakt II,CC VAL parameters,VAL16,,,,,1,67,0,127,0-based,,
Elektron,Digitakt II,Misc parameters,Master overdrive,,17,,0,127,2,37,0,127,0-based,,
